,id,username,age,gender,hispanic,number,race,movie,country,friend,country_list
0,11,ABHV99SXGY9PD,20-29,Female,No,4,White,none,none,1-10,
1,12,A2O4WTIGSV7GRF,20-29,Female,No,4,White,1-10,none,1-10,
2,13,A4T50ODN6SGNR,30-39,Male,No,4,White,1-10,none,50+,
3,14,A3TR9Y4WENJKSC,40-49,Male,No,4,Asian,10+,11-30,50+,vietnam
4,15,AT5FSN3F67A6F,30-39,Female,No,4,White,none,none,11-50,
5,16,A1KAGPLVMIQPUS,40-49,Female,No,4,White,10+,none,50+,
6,17,A1Q61CF5K50UJC,30-39,Female,No,4,White,1-10,none,1-10,
7,18,A1QUQ0TV9KVD4C,30-39,Female,Yes,4,White,none,none,50+,
8,19,A3DF3331GOTRJP,30-39,Male,No,4,White,1-10,none,11-50,
9,20,A39VDXGL1RVURU,50-59,Male,No,4,White,1-10,none,50+,
10,21,AH5YERKLBOLRP,30-39,Female,Yes,4,Black,1-10,none,50+,
11,22,AVNAS64N7102H,20-29,Female,No,4,Black,1-10,none,11-50,
12,23,A3ON3581A967AO,20-29,Female,No,4,Natives,none,none,11-50,
13,24,A29AX5O8KL48F8,30-39,Male,No,4,Asian,1-10,none,50+,
14,25,A250TNE6XDKH4N,60+,Female,No,4,Black,1-10,none,1-10,
15,26,A27193U5AHNSGU,Under 20,Female,No,4,White,1-10,none,11-50,
16,27,A38QKKR7ZJGCO2,20-29,Female,No,4,White,10+,none,50+,
17,28,A36X6B6HXD442I,Under 20,Female,Yes,4,White,none,none,none,
18,29,AJ0XKXCTQAKAE,30-39,Male,Yes,4,White,1-10,30+,1-10,Iraq
19,30,A2NHZ9FER5TAH4,30-39,Female,No,4,White,1-10,none,11-50,
20,31,AMKTU517E8NN,20-29,Female,No,4,White,1-10,none,50+,
21,32,A2NJT6IX34UWX7,30-39,Male,No,4,White,1-10,11-30,50+,Korea Japan
22,33,A29AX5O8KL48F8,30-39,Male,No,4,Asian,1-10,none,50+,
23,34,A1LE6AUI3CJNIT,30-39,Male,Yes,4,Hawaiian,10+,none,1-10,
24,35,A1QJFQMPPFNG8F,40-49,Male,No,4,White,1-10,none,50+,
25,36,ACID7NKW5A8QC,40-49,Female,No,4,Black,1-10,none,1-10,
26,37,A1KX3LRN6JMVMD,20-29,Female,Yes,4,Black,1-10,none,1-10,
27,38,AJ0XKXCTQAKAE,30-39,Male,Yes,4,White,1-10,30+,11-50,Iraq
28,39,AURFN6Z4NWC4U,40-49,Male,No,4,Black,1-10,11-30,11-50,Japan
29,40,AYT207NYF4KNQ,40-49,Male,No,4,White,10+,none,50+,
30,41,A20T2BYK2JPEAH,30-39,Male,No,4,White,1-10,none,11-50,
31,42,A136K9Y7E4C3G,50-59,Female,No,4,White,1-10,none,11-50,
32,43,A3ADYUC5578BDW,60+,Female,No,4,White,none,11-30,11-50,Japan
33,44,AKDDX03YN66YJ,20-29,Male,No,4,Black,1-10,11-30,11-50,japan
34,45,A25AYALHIJRNKR,40-49,Female,No,4,White,1-10,none,50+,
35,46,APSP9NBS1JLLB,20-29,Male,No,4,White,1-10,none,1-10,
36,47,AWDVZCZQZFE7K,20-29,Female,No,4,Hawaiian,10+,1-10,50+,Philippines
37,48,AKVDK30EEV08C,50-59,Female,No,4,White,none,none,1-10,
38,49,A2DUM57VSJIV4D,30-39,Male,No,4,White,1-10,none,50+,
39,50,A30Y3Q0B3JJ4TM,50-59,Female,No,4,White,1-10,none,1-10,
40,51,A1EGN9O1JPFC8K,30-39,Male,No,4,White,10+,none,1-10,Japan
41,52,A2O08PBOKS6W48,50-59,Female,No,4,White,1-10,none,11-50,
42,53,A1A0OTKVK1YXXD,20-29,Male,No,4,Asian,10+,30+,50+,Thailand
43,54,A2BQ5SX50WYNUT,30-39,Male,No,4,Asian,1-10,11-30,1-10,INDIA
44,55,A128KELA9FWZHM,40-49,Female,No,4,White,1-10,none,50+,
45,56,A2FELQI1CFT3EH,20-29,Male,Yes,4,White,10+,none,11-50,
46,57,AR5AV0OMG1SJU,50-59,Female,No,4,White,1-10,none,1-10,
47,58,AGA1PIIWM8I8D,30-39,Male,No,4,White,none,none,50+,
48,59,A395TE79MF1S36,30-39,Female,No,4,Black,none,none,1-10,
49,60,A1LTV9MGGQCIT3,30-39,Male,No,4,White,1-10,none,1-10,
50,61,A128KELA9FWZHM,40-49,Female,No,4,White,1-10,none,50+,
51,62,A1ZNO22R0CI05Q,30-39,Female,No,4,White,1-10,none,11-50,
52,63,A1QYTV4R5UWV4G,20-29,Female,No,4,White,1-10,none,50+,"no, but i have a trip planned to beijing in may"
53,64,A39TJBEC7JLHUS,30-39,Female,Yes,4,Hawaiian,10+,none,50+,
54,65,A1SFUROMC7QAF5,30-39,Male,Yes,4,Hawaiian,10+,30+,50+,Thailand
55,66,A1J1T68OC4ZT9Z,20-29,Female,No,4,White,1-10,none,50+,
56,67,ANT47ILQZVH34,20-29,Female,Yes,4,White,1-10,none,1-10,
57,68,A1VELWIW4WE0FY,20-29,Male,No,4,White,10+,11-30,50+,Japan
58,69,AP2AR3I6ZWUOP,20-29,Female,Yes,4,White,1-10,none,50+,
59,70,A1S88VQY8G8CNC,60+,Male,No,4,White,none,none,1-10,
60,71,A1SJRFJWFXSDH4,30-39,Female,Yes,4,White,none,none,11-50,
61,72,A3J57K2UYN2LMQ,60+,Male,No,4,Black,10+,none,1-10,
62,73,A2K41T8FJVYWY,30-39,Female,No,4,Asian,1-10,30+,50+,China
63,74,A3SIYZQYIHULPB,50-59,Female,No,4,Black,none,none,1-10,
64,75,ASW9MABLSXSPK,40-49,Female,No,4,White,10+,none,50+,
65,76,A2FXZJR8X6T2Q1,20-29,Male,No,4,White,none,none,11-50,
66,77,A2ZR01BMMEKE69,30-39,Female,No,4,White,10+,none,1-10,
67,78,AN9DH5VGK3FNG,30-39,Female,Yes,4,White,none,none,50+,
68,79,A1YPOIURXB6ESR,40-49,Female,No,4,Asian,10+,30+,50+,Japan
69,80,A3BN5OJ3VKA6US,30-39,Female,No,4,Black,1-10,none,1-10,
70,81,AW1QY7Q83DYCJ,40-49,Male,No,4,White,10+,1-10,50+,"China, Japan, Singapore"
71,82,ASCZLT6EAHERE,30-39,Female,No,4,Black,10+,none,50+,
72,83,A3HWJUL2SS2QNT,30-39,Male,Yes,4,White,1-10,none,11-50,
73,84,ALAOEYIYW0CW7,30-39,Female,No,4,Asian,10+,30+,11-50,Philippines
74,85,A3RQJM16UBTZKK,30-39,Male,No,4,White,1-10,none,11-50,
75,86,ATSI47EBN3LAO,Under 20,Male,Yes,4,White,10+,none,50+,
76,87,A3G1MPOUWG30P0,30-39,Female,No,4,White,none,none,1-10,
77,88,A3Q9H7A8J8GR01,30-39,Female,No,4,Asian,1-10,1-10,50+,India
78,89,A3UEQ7W0BN9WEG,30-39,Female,No,4,Black,10+,none,50+,
79,90,A35KK6F378H3UV,30-39,Female,No,4,White,1-10,none,1-10,
80,91,APPQ7R3YMD40M,40-49,Male,No,4,White,1-10,none,50+,
81,92,A1KLTPBLZUYKFO,50-59,Female,No,4,White,10+,1-10,11-50,Japan
82,93,ARCFWQDGDBWAM,20-29,Male,Yes,4,Natives,1-10,1-10,11-50,
83,94,A14T8OWU3RYG9F,20-29,Male,No,4,White,10+,none,11-50,
84,95,A18CR7R052ZVCH,30-39,Female,No,4,White,none,none,11-50,
85,96,A1KEUUSB2OVIKC,50-59,Female,No,4,White,1-10,none,11-50,
86,97,A30WNYDVFYY50Z,30-39,Male,No,4,Asian,1-10,11-30,50+,"Taiwan, China, Japan"
87,98,A37F8HJQD7YEQE,20-29,Male,No,4,White,1-10,none,50+,
88,99,A3FM3Y55L9BMN2,20-29,Female,Yes,4,White,1-10,none,11-50,none
89,100,A133DIQVVZRVPO,20-29,Male,No,4,White,none,none,50+,
90,101,A2LMRWB7PAMYE,20-29,Female,No,4,White,1-10,none,50+,
91,102,A1D68GESUYX17I,30-39,Female,No,4,Black,1-10,none,1-10,
92,103,AT62P65DNNORY,20-29,Male,No,4,Asian,10+,30+,50+,"Philippines, South Korea"
93,104,AIOETA4IDPRAU,50-59,Female,Yes,4,Hawaiian,1-10,none,1-10,
94,105,ALYR5CI2SM2JC,20-29,Male,No,4,Asian,1-10,30+,50+,Japan
95,106,A1461E2OYRQR1M,30-39,Female,No,4,White,1-10,none,1-10,
96,107,AMZ59DGY7I2ZI,30-39,Female,No,4,White,10+,none,50+,
97,108,A15PTUMG543FM4,Under 20,Male,No,4,Asian,10+,1-10,50+,Japan and Hong Kong
98,109,AREUCYFLC3Q2Z,30-39,Female,No,4,Black,10+,none,50+,
99,110,A1NZ7T2YT7P8MT,50-59,Female,No,4,Black,1-10,none,11-50,none
